co,d,h,idx,no2,o3,p,pm10,pm25,so2,t,timestamp,w
56,-11,36,446,77,2,1026,424,438,12,3,1483196400,2
47,-11,36,448,97,2,1026,370,425,16,3,1483196400,2
44,-11,36,452,100,4,1026,219,395,18,3,1483196400,2
31,-11,36,451,57,5,1026,368,404,13,3,1483196400,2
34,-11,36,469,74,4,1026,172,320,22,3,1483196400,2
54,-11,36,450,102,5,1026,319,420,13,3,1483196400,2
37,-11,36,463,74,1,1026,193,345,23,3,1483196400,2
43,-11,36,457,88,2,1026,290,408,20,3,1483196400,2
15,-11,36,462,28,7,1026,86,183,15,3,1483196400,2
14,-11,36,466,30,8,1026,76,168,11,3,1483196400,2
34,-10,48,477,73,5,1028,130,323,23,0,1483110000,2
16,-10,48,474,28,10,1028,154,316,17,0,1483110000,2
41,-10,48,479,79,2,1028,187,362,17,0,1483110000,2
25,-10,48,478,55,4,1028,117,204,14,0,1483110000,2
33,-10,48,476,72,3,1028,142,277,13,0,1483110000,2
24,-10,48,480,52,3,1028,91,191,16,0,1483110000,2
42,-10,48,460,70,4,1028,205,360,11,0,1483110000,2
34,-10,48,461,69,4,1028,196,377,16,0,1483110000,2
12,-10,48,454,25,7,1028,80,178,6,0,1483110000,2
34,-10,48,456,71,3,1028,161,279,12,0,1483110000,2
26,-10,48,464,57,5,1028,133,217,12,0,1483110000,2
29,-10,48,458,60,5,1028,173,326,35,0,1483110000,2
46,-10,51,459,71,5,1029,324,433,20,-1,1483102800,1
37,-10,48,455,73,4,1028,193,357,10,0,1483110000,2
23,-10,48,453,56,6,1028,85,183,14,0,1483110000,2
11,2,44,482,51,11,1027,78,157,23,14,1483196400,1
6,2,44,484,39,25,1027,70,166,12,14,1483196400,1
6,5,55,488,37,16,1028,58,137,21,14,1483196400,2
7,5,55,481,31,26,1028,66,155,10,14,1483196400,2
9,2,44,486,48,27,1027,75,158,12,14,1483196400,1
9,2,44,489,46,17,1027,66,155,22,14,1483196400,1
9,2,44,3304,41,19,1027,64,161,9,14,1483196400,1
9,2,44,483,41,19,1027,65,158,9,14,1483196400,1
14,5,55,485,40,11,1028,98,193,19,14,1483196400,2
9,5,55,487,41,24,1028,56,153,10,14,1483196400,2
10,2,44,490,54,19,1027,68,156,19,14,1483196400,1
8,10,46,931,15,93,1020,72,156,7,22,1483196400,3
9,10,46,916,28,70,1020,70,152,6,22,1483196400,3
9,10,46,924,12,68,1020,65,112,8,22,1483196400,3
8,10,49,3928,52,19,1021,77,154,7,21,1483196400,4
8,10,46,914,14,57,1020,56,124,8,22,1483196400,3
9,10,49,2572,62,17,1021,51,113,3,21,1483192800,4
8,10,49,2568,50,31,1021,74,155,10,21,1483196400,4
7,10,49,2570,61,15,1021,62,151,6,21,1483196400,4
10,10,49,2571,79,13,1021,51,105,4,21,1483196400,4
9,10,46,921,9,68,1020,49,129,5,22,1483196400,3
11,10,46,928,12,50,1020,69,139,6,22,1483196400,3
10,10,46,926,14,55,1020,63,129,7,22,1483196400,3
9,10,46,920,33,39,1020,71,151,6,22,1483196400,3
8,10,46,925,26,43,1020,65,129,5,22,1483196400,3
8,10,46,927,25,48,1020,66,124,6,22,1483196400,3
8,10,46,922,15,49,1020,58,142,14,22,1483196400,3
4,10,49,2569,23,58,1021,63,110,7,21,1483196400,4
9,10,49,2566,6,81,1021,57,112,8,21,1483196400,4
8,10,49,2567,68,14,1021,66,144,22,21,1483196400,4
41,-7,80,449,70,3,1027,384,474,6,-4,1483214400,1
48,-7,80,447,68,3,1027,408,440,2,-4,1483214400,1
43,-8,80,3303,70,3,1027,370,455,9,-5,1483218000,1
59,-7,80,446,65,2,1027,484,469,7,-4,1483214400,1
41,-7,80,448,72,2,1027,413,462,10,-4,1483214400,1
44,-7,80,452,90,4,1027,354,444,8,-4,1483214400,1
41,-7,80,451,72,5,1027,370,439,10,-4,1483214400,1
42,-7,80,469,62,4,1027,178,306,17,-4,1483214400,1
44,-7,80,450,90,5,1027,268,424,6,-4,1483214400,1
43,-7,80,463,63,1,1027,171,309,12,-4,1483214400,1
45,-7,80,457,76,2,1027,471,483,9,-4,1483214400,1
49,-7,80,462,77,7,1027,220,360,21,-4,1483214400,1
33,-7,80,466,51,8,1027,152,258,9,-4,1483214400,1
